index,mechanism,action,drugA,drugB
21033,The serum concentration,increase,Conivaptan,Macitentan
21034,The serum concentration,increase,Conivaptan,Maraviroc
21035,The serum concentration,increase,Conivaptan,Mebendazole
21036,The serum concentration,increase,Conivaptan,Medroxyprogesteroneacetate
21037,The serum concentration,increase,Conivaptan,Mefloquine
21038,The serum concentration,increase,Conivaptan,Meloxicam
21039,The serum concentration,increase,Conivaptan,Methadone
21040,The risk or severity of adverse effects,increase,Conivaptan,Methazolamide
21041,The serum concentration,increase,Conivaptan,Methoxyflurane
21042,The risk or severity of adverse effects,increase,Conivaptan,Methyldopa
21043,The risk or severity of adverse effects,increase,Conivaptan,Methylergometrine
21044,the hypotensive activities,increase,Conivaptan,Methylphenobarbital
21045,The serum concentration,increase,Conivaptan,Methylprednisolone
21046,The serum concentration,increase,Conivaptan,Methyltestosterone
21047,The risk or severity of adverse effects,increase,Conivaptan,Metoprolol
21048,The serum concentration,increase,Conivaptan,Metronidazole
21049,The serum concentration,increase,Conivaptan,Mexiletine
21050,The serum concentration,increase,Conivaptan,Mianserin
21051,The serum concentration,increase,Conivaptan,Miconazole
21052,The serum concentration,increase,Conivaptan,Midazolam
21053,The serum concentration,increase,Conivaptan,Midostaurin
21054,The serum concentration,increase,Conivaptan,Mifepristone
21055,The serum concentration,increase,Conivaptan,Mirabegron
21056,The serum concentration,increase,Conivaptan,Mirtazapine
21057,The serum concentration,decrease,Conivaptan,Mitotane
21058,The serum concentration,increase,Conivaptan,Modafinil
21059,The serum concentration,increase,Conivaptan,Montelukast
21060,The serum concentration,increase,Conivaptan,Morphine
21061,The serum concentration,increase,Conivaptan,Mycophenolatemofetil
21062,The risk or severity of adverse effects,increase,Conivaptan,Nabilone
21063,The serum concentration,increase,Conivaptan,Nabiximols
21064,The serum concentration,increase,Conivaptan,Naloxegol
21065,The serum concentration,increase,Conivaptan,Naloxone
21066,The serum concentration,increase,Conivaptan,Nateglinide
21067,The risk or severity of adverse effects,increase,Conivaptan,Nebivolol
21068,The serum concentration,increase,Conivaptan,Nefazodone
21069,The serum concentration,increase,Conivaptan,Neratinib
21070,The serum concentration,increase,Conivaptan,Netupitant
21071,The serum concentration,increase,Conivaptan,Nicardipine
21072,The metabolism,decrease,Copanlisib,Crizotinib
21073,The metabolism,decrease,Copanlisib,Cyclosporine
21074,The serum concentration,decrease,Copanlisib,Dabrafenib
21075,The serum concentration,increase,Copanlisib,Dasatinib
21076,The metabolism,decrease,Copanlisib,Dihydroergotamine
21077,The metabolism,decrease,Copanlisib,Diltiazem
21078,The metabolism,decrease,Copanlisib,Doxycycline
21079,The metabolism,decrease,Copanlisib,Dronedarone
21080,The serum concentration,increase,Copanlisib,Eltrombopag
21081,The serum concentration,decrease,Copanlisib,Enzalutamide
21082,The metabolism,decrease,Copanlisib,Erythromycin
21083,The metabolism,decrease,Copanlisib,Fluvoxamine
21084,The metabolism,increase,Copanlisib,Fosphenytoin
21085,The metabolism,decrease,Copanlisib,Imatinib
21086,The serum concentration,increase,Copanlisib,Isavuconazole
21087,The metabolism,decrease,Copanlisib,Isradipine
21088,The metabolism,decrease,Copanlisib,Itraconazole
21089,The serum concentration,increase,Copanlisib,Ivacaftor
21090,The metabolism,decrease,Copanlisib,Ketoconazole
21091,The serum concentration,increase,Copanlisib,Lorpiprazole
21092,The metabolism,decrease,Copanlisib,Lovastatin
21093,The serum concentration,decrease,Copanlisib,Lumacaftor
21094,The serum concentration,increase,Copanlisib,Mifepristone
21095,The serum concentration,decrease,Copanlisib,Mitotane
21096,The metabolism,decrease,Copanlisib,Nefazodone
21097,The serum concentration,increase,Copanlisib,Netupitant
21098,The metabolism,decrease,Cortisoneacetate,Crizotinib
21099,The metabolism,decrease,Cortisoneacetate,Cyclosporine
21100,The serum concentration,decrease,Cortisoneacetate,Dabrafenib
21101,the fluid,increase,Cortisoneacetate,Danazol
21102,The serum concentration,increase,Cortisoneacetate,Dasatinib
21103,The risk or severity of adverse effects,increase,Cortisoneacetate,Decamethonium
21104,The risk or severity of adverse effects,increase,Cortisoneacetate,Diclofenac
21105,The serum concentration,increase,Cortisoneacetate,Diethylstilbestrol
21106,The risk or severity of adverse effects,increase,Cortisoneacetate,Diflunisal
21107,The risk or severity of adverse effects,increase,Cortisoneacetate,Dihydroergotamine
21108,The metabolism,decrease,Cortisoneacetate,Diltiazem
21109,The risk or severity of adverse effects,increase,Cortisoneacetate,Donepezil
21110,The metabolism,decrease,Cortisoneacetate,Doxycycline
21111,The metabolism,decrease,Cortisoneacetate,Dronedarone
21112,The risk or severity of adverse effects,increase,Cortisoneacetate,Enoxacin
21113,The serum concentration,decrease,Cortisoneacetate,Enzalutamide
21114,The risk or severity of adverse effects,increase,Cortisoneacetate,Ergonovine
21115,The risk or severity of adverse effects,increase,Cortisoneacetate,Ergotamine
21116,The metabolism,decrease,Cortisoneacetate,Erythromycin
21117,The serum concentration,increase,Cortisoneacetate,Estradiol
21118,The serum concentration,increase,Cortisoneacetate,Estradiolacetate
21119,The serum concentration,increase,Cortisoneacetate,Estradiolcypionate
21120,The serum concentration,increase,Cortisoneacetate,Estradiolvalerate
21121,The serum concentration,increase,Cortisoneacetate,Estrone
21122,the hypokalemic activities,increase,Cortisoneacetate,Etacrynicacid
21123,The serum concentration,increase,Cortisoneacetate,Ethinylestradiol
21124,The risk or severity of adverse effects,increase,Cortisoneacetate,Etodolac
21125,The risk or severity of adverse effects,increase,Cortisoneacetate,Etoricoxib
21126,the immunosuppressive activities,increase,Cortisoneacetate,Fingolimod
21127,The risk or severity of adverse effects,increase,Cortisoneacetate,Flurbiprofen
21128,The serum concentration,increase,Cortisoneacetate,Fluvastatin
21129,The metabolism,decrease,Cortisoneacetate,Fluvoxamine
21130,The metabolism,increase,Cortisoneacetate,Fosphenytoin
21131,the hypokalemic activities,increase,Cortisoneacetate,Furosemide
21132,The risk or severity of adverse effects,increase,Cortisoneacetate,Galantamine
21133,The therapeutic efficacy,decrease,Cortisoneacetate,Gliclazide
21134,The therapeutic efficacy,decrease,Cortisoneacetate,Glimepiride
21135,The therapeutic efficacy,decrease,Cortisoneacetate,Glipizide
21136,The therapeutic efficacy,decrease,Cortisoneacetate,Glyburide
21137,The serum concentration,increase,Cortisoneacetate,Ibrutinib
21138,The risk or severity of adverse effects,increase,Cortisoneacetate,Ibuprofen
21139,The metabolism,decrease,Cortisoneacetate,Imatinib
21140,the hypokalemic activities,increase,Cortisoneacetate,Indacaterol
21141,the hypokalemic activities,increase,Cortisoneacetate,Indapamide
21142,The risk or severity of adverse effects,increase,Cortisoneacetate,Indomethacin
21143,The serum concentration,increase,Cortisoneacetate,Isavuconazole
21144,The risk or severity of adverse effects,increase,Cortisoneacetate,Isoflurophate
21145,The serum concentration,decrease,Cortisoneacetate,Isoniazid
21146,The metabolism,decrease,Cortisoneacetate,Isradipine
21147,The metabolism,decrease,Cortisoneacetate,Itraconazole
21148,The serum concentration,increase,Cortisoneacetate,Ivacaftor
21149,The metabolism,decrease,Cortisoneacetate,Ketoconazole
21150,The risk or severity of adverse effects,increase,Cortisoneacetate,Ketoprofen
21151,The risk or severity of adverse effects,increase,Cortisoneacetate,Leflunomide
21152,The risk or severity of adverse effects,increase,Cortisoneacetate,Levofloxacin
21153,The therapeutic efficacy,decrease,Cortisoneacetate,Linagliptin
21154,The risk or severity of adverse effects,increase,Cortisoneacetate,Lisuride
21155,The risk or severity of adverse effects,increase,Cortisoneacetate,Lornoxicam
21156,The serum concentration,increase,Cortisoneacetate,Lorpiprazole
21157,The serum concentration,increase,Cortisoneacetate,Lovastatin
21158,The risk or severity of adverse effects,increase,Cortisoneacetate,Loxoprofen
21159,The metabolism,increase,Cortisoneacetate,Lumacaftor
21160,The risk or severity of adverse effects,increase,Cortisoneacetate,Lumiracoxib
21161,The risk or severity of adverse effects,increase,Cortisoneacetate,Malathion
21162,The risk or severity of adverse effects,increase,Cortisoneacetate,Masoprocol
21163,The risk or severity of adverse effects,increase,Cortisoneacetate,Mefenamicacid
21164,The risk or severity of adverse effects,increase,Cortisoneacetate,Mefloquine
21165,The risk or severity of adverse effects,increase,Cortisoneacetate,Meloxicam
21166,The risk or severity of adverse effects,increase,Cortisoneacetate,Memantine
21167,The serum concentration,increase,Cortisoneacetate,Mestranol
21168,The risk or severity of adverse effects,increase,Cortisoneacetate,Metamizole
21169,The risk or severity of adverse effects,increase,Cortisoneacetate,Methylergometrine
21170,the fluid,increase,Cortisoneacetate,Methyltestosterone
21171,The risk or severity of adverse effects,increase,Cortisoneacetate,Metoclopramide
21172,The therapeutic efficacy,decrease,Cortisoneacetate,Mifepristone
21173,The therapeutic efficacy,decrease,Cortisoneacetate,Miglitol
21174,The risk or severity of adverse effects,increase,Cortisoneacetate,Minaprine
21175,The therapeutic efficacy,decrease,Cortisoneacetate,Mitiglinide
21176,The serum concentration,decrease,Cortisoneacetate,Mitotane
21177,The risk or severity of adverse effects,increase,Cortisoneacetate,Mycophenolatemofetil
21178,The risk or severity of adverse effects,increase,Cortisoneacetate,Mycophenolicacid
21179,The risk or severity of adverse effects,increase,Cortisoneacetate,Nabumetone
21180,the fluid,increase,Cortisoneacetate,Nandrolonedecanoate
21181,The risk or severity of adverse effects,increase,Cortisoneacetate,Naproxen
21182,The therapeutic efficacy,decrease,Cortisoneacetate,Nateglinide
21183,The metabolism,decrease,Cortisoneacetate,Nefazodone
21184,The risk or severity of adverse effects,increase,Cortisoneacetate,Neostigmine
21185,The serum concentration,increase,Cortisoneacetate,Netupitant
21186,The metabolism,decrease,Crisaborole,Cyclophosphamide
21187,The metabolism,decrease,Crisaborole,Dabrafenib
21188,The metabolism,decrease,Crisaborole,Dapagliflozin
21189,The metabolism,decrease,Crisaborole,Dextromethorphan
21190,The metabolism,decrease,Crisaborole,Diazepam
21191,The metabolism,decrease,Crisaborole,Diclofenac
21192,The metabolism,decrease,Crisaborole,Dicoumarol
21193,The metabolism,decrease,Crisaborole,Diltiazem
21194,The metabolism,decrease,Crisaborole,Diphenhydramine
21195,The metabolism,decrease,Crisaborole,Doconexent
21196,The metabolism,decrease,Crisaborole,Dolasetron
21197,The metabolism,decrease,Crisaborole,Domperidone
21198,The metabolism,decrease,Crisaborole,Donepezil
21199,The metabolism,decrease,Crisaborole,Dopamine
21200,The metabolism,decrease,Crisaborole,Dorzolamide
21201,The metabolism,decrease,Crisaborole,Doxepin
21202,The serum concentration,increase,Crisaborole,Dronabinol
21203,The metabolism,decrease,Crisaborole,Eletriptan
21204,The metabolism,decrease,Crisaborole,Eltrombopag
21205,The metabolism,decrease,Crisaborole,Enasidenib
21206,The metabolism,decrease,Crisaborole,Enzalutamide
21207,The metabolism,decrease,Crisaborole,Epoprostenol
21208,The metabolism,decrease,Crisaborole,Erlotinib
21209,The metabolism,decrease,Crisaborole,Estradiol
21210,The metabolism,decrease,Crisaborole,Estradiolacetate
21211,The metabolism,decrease,Crisaborole,Estradiolbenzoate
21212,The metabolism,decrease,Crisaborole,Estradiolcypionate
21213,The metabolism,decrease,Crisaborole,Estradioldienanthate
21214,The metabolism,decrease,Crisaborole,Estradiolvalerate
21215,The metabolism,decrease,Crisaborole,Estrone
21216,The metabolism,decrease,Crisaborole,Eszopiclone
21217,The metabolism,decrease,Crisaborole,Etodolac
21218,The metabolism,decrease,Crisaborole,Etoricoxib
21219,The metabolism,decrease,Crisaborole,Flunarizine
21220,The metabolism,decrease,Crisaborole,Flunitrazepam
21221,The metabolism,decrease,Crisaborole,Fluorouracil
21222,The metabolism,decrease,Crisaborole,Fluoxetine
21223,The metabolism,decrease,Crisaborole,Flurbiprofen
21224,The metabolism,decrease,Crisaborole,Fluvastatin
21225,The metabolism,decrease,Crisaborole,Formoterol
21226,The metabolism,decrease,Crisaborole,Fosphenytoin
21227,The metabolism,decrease,Crisaborole,Gliclazide
21228,The metabolism,decrease,Crisaborole,Glimepiride
21229,The metabolism,decrease,Crisaborole,Glipizide
21230,The metabolism,decrease,Crisaborole,Glyburide
21231,The metabolism,decrease,Crisaborole,Guanfacine
21232,The metabolism,decrease,Crisaborole,Halofantrine
21233,The metabolism,decrease,Crisaborole,Haloperidol
21234,The metabolism,decrease,Crisaborole,Halothane
21235,The metabolism,decrease,Crisaborole,Hexobarbital
21236,The metabolism,decrease,Crisaborole,Histamine
21237,The metabolism,decrease,Crisaborole,Hydromorphone
21238,The metabolism,decrease,Crisaborole,Ibuprofen
21239,The metabolism,decrease,Crisaborole,Idarubicin
21240,The metabolism,decrease,Crisaborole,Ifosfamide
21241,The metabolism,decrease,Crisaborole,Imatinib
21242,The metabolism,decrease,Crisaborole,Indomethacin
21243,The metabolism,decrease,Crisaborole,Irbesartan
21244,The metabolism,decrease,Crisaborole,Ketamine
21245,The metabolism,decrease,Crisaborole,Ketobemidone
21246,The metabolism,decrease,Crisaborole,Ketoprofen
21247,The metabolism,decrease,Crisaborole,Lansoprazole
21248,The metabolism,decrease,Crisaborole,Lapatinib
21249,The metabolism,decrease,Crisaborole,Leflunomide
21250,The metabolism,decrease,Crisaborole,Lesinurad
21251,The metabolism,decrease,Crisaborole,Levomilnacipran
21252,The metabolism,decrease,Crisaborole,Lidocaine
21253,The metabolism,decrease,Crisaborole,Loperamide
21254,The metabolism,decrease,Crisaborole,Loratadine
21255,The metabolism,decrease,Crisaborole,Lornoxicam
21256,The metabolism,decrease,Crisaborole,Losartan
21257,The metabolism,decrease,Crisaborole,Lumiracoxib
21258,The metabolism,decrease,Crisaborole,Mefenamicacid
21259,The metabolism,decrease,Crisaborole,Melatonin
21260,The metabolism,decrease,Crisaborole,Meloxicam
21261,The metabolism,decrease,Crisaborole,Mestranol
21262,The metabolism,decrease,Crisaborole,Methadone
21263,The metabolism,decrease,Crisaborole,Methoxyflurane
21264,The metabolism,decrease,Crisaborole,Metronidazole
21265,The metabolism,decrease,Crisaborole,Mirtazapine
21266,The metabolism,decrease,Crisaborole,Moclobemide
21267,The metabolism,decrease,Crisaborole,Montelukast
21268,The metabolism,decrease,Crisaborole,Morphine
21269,The metabolism,decrease,Crisaborole,Mycophenolatemofetil
21270,The metabolism,decrease,Crisaborole,Nabiximols
21271,The metabolism,decrease,Crisaborole,Naloxone
21272,The metabolism,decrease,Crisaborole,Naproxen
21273,The metabolism,decrease,Crisaborole,Nateglinide
21274,The metabolism,decrease,Crisaborole,Netupitant
21275,The metabolism,decrease,Crisaborole,Nicardipine
21276,The metabolism,decrease,Crizotinib,Cyclobenzaprine
21277,the cardiotoxic activities,increase,Crizotinib,Cyclophosphamide
21278,The serum concentration,increase,Crizotinib,Cyclosporine
21279,The metabolism,decrease,Crizotinib,Cytarabine
21280,The serum concentration of the active metabolites,increase,Crizotinib,Dabigatranetexilate
21281,The serum concentration,decrease,Dabrafenib,Crizotinib
21282,The metabolism,decrease,Dantrolene,Crizotinib
21283,The metabolism,decrease,Dapagliflozin,Crizotinib
21284,The metabolism,decrease,Darifenacin,Crizotinib
21285,The serum concentration,increase,Dasatinib,Crizotinib
21286,The metabolism,decrease,Daunorubicin,Crizotinib
21287,the QTc - prolonging activities,increase,Desipramine,Crizotinib
21288,The metabolism,decrease,Desvenlafaxine,Crizotinib
21289,The metabolism,decrease,Deutetrabenazine,Crizotinib
21290,The metabolism,decrease,Dexamethasone,Crizotinib
21291,The metabolism,decrease,Dexchlorpheniraminemaleate,Crizotinib
21292,The metabolism,decrease,Dexlansoprazole,Crizotinib
21293,the bradycardic activities,increase,Dexmedetomidine,Crizotinib
21294,The metabolism,decrease,Dextromethorphan,Crizotinib
21295,The metabolism,decrease,Dextropropoxyphene,Crizotinib
21296,The metabolism,decrease,Diazepam,Crizotinib
21297,The metabolism,decrease,Diclofenac,Crizotinib
21298,The metabolism,decrease,Dienogest,Crizotinib
21299,the cardiotoxic activities,decrease,Digitoxin,Crizotinib
21300,the cardiotoxic activities,decrease,Digoxin,Crizotinib
21301,The serum concentration,increase,Dihydroergotamine,Crizotinib
21302,The metabolism,decrease,Diltiazem,Crizotinib
21303,The metabolism,decrease,Diphenhydramine,Crizotinib
21304,the QTc - prolonging activities,increase,Disopyramide,Crizotinib
21305,The metabolism,decrease,Disulfiram,Crizotinib
21306,The risk or severity of adverse effects,increase,Docetaxel,Crizotinib
21307,The serum concentration,increase,Dofetilide,Crizotinib
21308,the QTc - prolonging activities,increase,Dolasetron,Crizotinib
21309,The serum concentration,increase,Domperidone,Crizotinib
21310,The metabolism,decrease,Donepezil,Crizotinib
21311,The metabolism,decrease,Dorzolamide,Crizotinib
21312,The metabolism,decrease,Doxepin,Crizotinib
21313,The metabolism,decrease,Doxycycline,Crizotinib
21314,The serum concentration,increase,Dronabinol,Crizotinib
21315,the QTc - prolonging activities,increase,Dronedarone,Crizotinib
21316,The metabolism,decrease,Dutasteride,Crizotinib
21317,The serum concentration,increase,Eletriptan,Crizotinib
21318,The serum concentration,increase,Eliglustat,Crizotinib
21319,The metabolism,decrease,Enalapril,Crizotinib
21320,The metabolism,decrease,Enasidenib,Crizotinib
21321,The serum concentration,decrease,Enzalutamide,Crizotinib
21322,The metabolism,decrease,Epinastine,Crizotinib
21323,The serum concentration,increase,Eplerenone,Crizotinib
21324,The metabolism,decrease,Ergocalciferol,Crizotinib
21325,The risk or severity of adverse effects,increase,Ergonovine,Crizotinib
21326,The serum concentration,increase,Ergotamine,Crizotinib
21327,The metabolism,decrease,Erlotinib,Crizotinib
21328,the QTc - prolonging activities,increase,Erythromycin,Crizotinib
21329,the QTc - prolonging activities,increase,Escitalopram,Crizotinib
21330,The metabolism,decrease,Esomeprazole,Crizotinib
21331,The metabolism,decrease,Estazolam,Crizotinib
21332,The metabolism,decrease,Estradiol,Crizotinib
21333,The metabolism,decrease,Estradiolacetate,Crizotinib
21334,The metabolism,decrease,Estradiolbenzoate,Crizotinib
21335,The metabolism,decrease,Estradiolcypionate,Crizotinib
21336,The metabolism,decrease,Estradioldienanthate,Crizotinib
21337,The metabolism,decrease,Estradiolvalerate,Crizotinib
21338,The metabolism,decrease,Estramustine,Crizotinib
21339,The metabolism,decrease,Estrone,Crizotinib
21340,The metabolism,decrease,Estronesulfate,Crizotinib
21341,The metabolism,decrease,Eszopiclone,Crizotinib
21342,The metabolism,decrease,Ethanol,Crizotinib
21343,The metabolism,decrease,Ethinylestradiol,Crizotinib
21344,The metabolism,decrease,Ethosuximide,Crizotinib
21345,The metabolism,decrease,Ethylmorphine,Crizotinib
21346,The metabolism,decrease,Etizolam,Crizotinib
21347,The metabolism,decrease,Etonogestrel,Crizotinib
21348,The metabolism,decrease,Etoposide,Crizotinib
21349,The metabolism,decrease,Etoricoxib,Crizotinib
21350,The serum concentration,increase,Everolimus,Crizotinib
21351,The metabolism,decrease,Exemestane,Crizotinib
21352,the QTc - prolonging activities,increase,Ezogabine,Crizotinib
21353,the QTc - prolonging activities,increase,Famotidine,Crizotinib
21354,The metabolism,decrease,Felbamate,Crizotinib
21355,The metabolism,decrease,Felodipine,Crizotinib
21356,The metabolism,decrease,Fenofibrate,Crizotinib
21357,The serum concentration,increase,Fentanyl,Crizotinib
21358,The metabolism,decrease,Fesoterodine,Crizotinib
21359,The metabolism,decrease,Finasteride,Crizotinib
21360,The metabolism,decrease,Fingolimod,Crizotinib
21361,the QTc - prolonging activities,increase,Flecainide,Crizotinib
21362,The risk or severity of adverse effects,increase,Flibanserin,Crizotinib
21363,The metabolism,decrease,Flunarizine,Crizotinib
21364,The metabolism,decrease,Flunisolide,Crizotinib
21365,The metabolism,decrease,Flunitrazepam,Crizotinib
21366,The metabolism,decrease,Fluorometholone,Crizotinib
21367,the QTc - prolonging activities,increase,Fluoxetine,Crizotinib
21368,the QTc - prolonging activities,increase,Flupentixol,Crizotinib
21369,The metabolism,decrease,Flurazepam,Crizotinib
21370,The metabolism,decrease,Flutamide,Crizotinib
21371,The metabolism,decrease,Fluticasonefuroate,Crizotinib
21372,The metabolism,decrease,Fluticasonepropionate,Crizotinib
21373,The serum concentration,increase,Fluvastatin,Crizotinib
21374,The metabolism,decrease,Fluvoxamine,Crizotinib
21375,the QTc - prolonging activities,increase,Formoterol,Crizotinib
21376,The serum concentration,decrease,Fosphenytoin,Crizotinib
21377,The metabolism,decrease,Fostamatinib,Crizotinib
21378,The metabolism,decrease,Fulvestrant,Crizotinib
21379,The metabolism,decrease,Galantamine,Crizotinib
21380,The metabolism,decrease,Gefitinib,Crizotinib
21381,The metabolism,decrease,Gemfibrozil,Crizotinib
21382,The metabolism,decrease,Glipizide,Crizotinib
21383,The metabolism,decrease,Glyburide,Crizotinib
21384,the QTc - prolonging activities,increase,Granisetron,Crizotinib
21385,The metabolism,decrease,Guanfacine,Crizotinib
21386,The serum concentration,increase,Halofantrine,Crizotinib
21387,the QTc - prolonging activities,increase,Haloperidol,Crizotinib
21388,The metabolism,decrease,Halothane,Crizotinib
21389,The metabolism,decrease,Hexobarbital,Crizotinib
21390,The metabolism,decrease,Histamine,Crizotinib
21391,The serum concentration,increase,Hydrocodone,Crizotinib
21392,The metabolism,decrease,Hydrocortisone,Crizotinib
21393,The metabolism,decrease,Hydromorphone,Crizotinib
21394,The metabolism,decrease,Hydroxyprogesteronecaproate,Crizotinib
21395,the QTc - prolonging activities,increase,Hydroxyzine,Crizotinib
21396,The serum concentration,increase,Ibrutinib,Crizotinib
21397,The metabolism,decrease,Icotinib,Crizotinib
21398,The serum concentration of the active metabolites,reduce,Ifosfamide,Crizotinib
21399,the QTc - prolonging activities,increase,Crizotinib,Iloperidone
21400,The serum concentration,increase,Crizotinib,Imatinib
21401,The metabolism,decrease,Crizotinib,Imidafenacin
21402,The metabolism,decrease,Crizotinib,Imipramine
21403,The metabolism,decrease,Crizotinib,Imiquimod
21404,The metabolism,decrease,Crizotinib,Indacaterol
21405,The metabolism,decrease,Crizotinib,Indapamide
21406,The metabolism,decrease,Crizotinib,Ipratropiumbromide
21407,The metabolism,decrease,Crizotinib,Irinotecan
21408,The serum concentration,increase,Crizotinib,Isavuconazole
21409,The metabolism,decrease,Crizotinib,Isoflurane
21410,The metabolism,decrease,Crizotinib,Isosorbidedinitrate
21411,The metabolism,decrease,Crizotinib,Isosorbidemononitrate
21412,The metabolism,decrease,Crizotinib,Isradipine
21413,The serum concentration,increase,Crizotinib,Itraconazole
21414,The serum concentration,increase,Crizotinib,Ivacaftor
21415,The metabolism,decrease,Crizotinib,Ivermectin
21416,The metabolism,decrease,Crizotinib,Ixabepilone
21417,The metabolism,decrease,Crizotinib,Ketamine
21418,The metabolism,decrease,Crizotinib,Ketazolam
21419,The metabolism,decrease,Crizotinib,Ketobemidone
21420,The serum concentration,increase,Crizotinib,Ketoconazole
21421,the bradycardic activities,increase,Crizotinib,Labetalol
21422,The metabolism,decrease,Crizotinib,Lansoprazole
21423,The metabolism,decrease,Crizotinib,Lapatinib
21424,the QTc - prolonging activities,increase,Crizotinib,Lenvatinib
21425,The metabolism,decrease,Crizotinib,Lercanidipine
21426,The metabolism,decrease,Crizotinib,Letrozole
21427,The metabolism,decrease,Crizotinib,Levobupivacaine
21428,The metabolism,decrease,Crizotinib,Levocetirizine
21429,the QTc - prolonging activities,increase,Crizotinib,Levofloxacin
21430,The metabolism,decrease,Crizotinib,Levomethadylacetate
21431,The metabolism,decrease,Crizotinib,Levomilnacipran
21432,The metabolism,decrease,Crizotinib,Levonorgestrel
21433,The metabolism,decrease,Crizotinib,Levothyroxine
21434,The metabolism,decrease,Crizotinib,Lidocaine
21435,The risk or severity of adverse effects,increase,Crizotinib,Lisuride
21436,The serum concentration,increase,Crizotinib,Lomitapide
21437,The metabolism,decrease,Crizotinib,Loperamide
21438,The metabolism,decrease,Crizotinib,Loratadine
21439,The metabolism,decrease,Crizotinib,Lorcaserin
21440,The serum concentration,increase,Crizotinib,Lorpiprazole
21441,The metabolism,decrease,Crizotinib,Losartan
21442,The serum concentration,increase,Crizotinib,Lovastatin
21443,The serum concentration,decrease,Crizotinib,Lumacaftor
21444,The serum concentration,increase,Crizotinib,Lurasidone
21445,The metabolism,decrease,Crizotinib,Macimorelin
21446,The metabolism,decrease,Crizotinib,Macitentan
21447,The metabolism,decrease,Crizotinib,Malathion
21448,the QTc - prolonging activities,increase,Crizotinib,Maprotiline
21449,The metabolism,decrease,Crizotinib,Maraviroc
21450,The metabolism,decrease,Crizotinib,Mebendazole
21451,The metabolism,decrease,Crizotinib,Medroxyprogesteroneacetate
21452,The metabolism,decrease,Crizotinib,Mefloquine
21453,The metabolism,decrease,Crizotinib,Meloxicam
21454,the QTc - prolonging activities,increase,Crizotinib,Methadone
21455,the QTc - prolonging activities,increase,Crizotinib,Methotrimeprazine
21456,The metabolism,decrease,Crizotinib,Methoxyflurane
21457,the bradycardic activities,increase,Crizotinib,Methyldopa
21458,The risk or severity of adverse effects,increase,Crizotinib,Methylergometrine
21459,The metabolism,decrease,Crizotinib,Methylphenobarbital
21460,The metabolism,decrease,Crizotinib,Methylprednisolone
21461,The metabolism,decrease,Crizotinib,Methyltestosterone
21462,the QTc - prolonging activities,increase,Crizotinib,Metoclopramide
21463,the bradycardic activities,increase,Crizotinib,Metoprolol
21464,The metabolism,decrease,Crizotinib,Metronidazole
21465,The metabolism,decrease,Crizotinib,Mexiletine
21466,The metabolism,decrease,Crizotinib,Mianserin
21467,The metabolism,decrease,Crizotinib,Miconazole
21468,The metabolism,decrease,Crizotinib,Midazolam
21469,The metabolism,decrease,Crizotinib,Midostaurin
21470,The metabolism,decrease,Crizotinib,Mirabegron
21471,The metabolism,decrease,Crizotinib,Mirtazapine
21472,The serum concentration,decrease,Crizotinib,Mitotane
21473,The metabolism,decrease,Crizotinib,Modafinil
21474,The metabolism,decrease,Crizotinib,Montelukast
21475,The metabolism,decrease,Crizotinib,Morphine
21476,The metabolism,decrease,Crizotinib,Mycophenolatemofetil
21477,The metabolism,decrease,Crizotinib,Nabiximols
21478,The serum concentration,increase,Crizotinib,Naloxegol
21479,The metabolism,decrease,Crizotinib,Naloxone
21480,The metabolism,decrease,Crizotinib,Nateglinide
21481,the bradycardic activities,increase,Crizotinib,Nebivolol
21482,The serum concentration,increase,Crizotinib,Nefazodone
21483,The metabolism,decrease,Crizotinib,Neratinib
21484,The serum concentration,increase,Crizotinib,Netupitant
21485,The metabolism,decrease,Crizotinib,Nicardipine
21486,The risk or severity of adverse effects,increase,Cyclizine,Cyclobenzaprine
21487,The risk or severity of adverse effects,increase,Cyclizine,Cyproheptadine
21488,The risk or severity of adverse effects,increase,Cyclizine,Dantrolene
21489,The risk or severity of adverse effects,increase,Cyclizine,Desipramine
21490,The risk or severity of adverse effects,increase,Cyclizine,Desloratadine
21491,The risk or severity of adverse effects,increase,Cyclizine,Desvenlafaxine
21492,The risk or severity of adverse effects,increase,Cyclizine,Dexmedetomidine
21493,the sedative activities,decrease,Cyclizine,Dextroamphetamine
21494,The risk or severity of adverse effects,increase,Cyclizine,Dextropropoxyphene
21495,The risk or severity of adverse effects,increase,Cyclizine,Diazepam
21496,The risk or severity of adverse effects,increase,Cyclizine,Diphenhydramine
21497,The risk or severity of adverse effects,increase,Cyclizine,Doxepin
21498,the central nervous system depressant ( CNS depressant ) activities,increase,Cyclizine,Doxylamine
21499,the central nervous system depressant ( CNS depressant ) activities,increase,Cyclizine,Dronabinol
21500,The risk or severity of adverse effects,increase,Cyclizine,Duloxetine
21501,The risk or severity of adverse effects,increase,Cyclizine,Enflurane
21502,The risk or severity of adverse effects,increase,Cyclizine,Entacapone
21503,The risk or severity of adverse effects,increase,Cyclizine,Escitalopram
21504,The risk or severity of adverse effects,increase,Cyclizine,Estazolam
21505,The risk or severity of adverse effects,increase,Cyclizine,Eszopiclone
21506,the central nervous system depressant ( CNS depressant ) activities,increase,Cyclizine,Ethanol
21507,The risk or severity of adverse effects,increase,Cyclizine,Ethosuximide
